FragmentID	PGF.NH	COX.NH	CIGAR	NM	XG
WTCHG_18627:2:100:10812:13246	1	1	S	0	A0
WTCHG_18627:2:100:10813:5319	1	1	S	0	A0
WTCHG_18627:2:100:10816:4479	1	1	S	0	A0
WTCHG_18627:2:100:10819:7445	1	1	S	0	A0
WTCHG_18627:2:100:10833:18152	1	1	S	0	A0
WTCHG_18627:2:100:10834:6218	1	1	S	0	A0
WTCHG_18627:2:100:10837:20657	1	1	S	0	A0
WTCHG_18627:2:100:10841:2388	1	1	S	0	A0
WTCHG_18627:2:100:10850:13378	1	1	S	0	A0
WTCHG_18627:2:100:10852:16104	1	1	S	0	A0
WTCHG_18627:2:100:10857:8929	1	1	S	0	A0
WTCHG_18627:2:100:10858:7182	1	1	S	0	A0
WTCHG_18627:2:100:10878:4803	1	1	S	0	A0
WTCHG_18627:2:100:1088:20196	1	1	S	0	A0
WTCHG_18627:2:100:10923:5845	1	1	S	0	A0
WTCHG_18627:2:100:10925:19063	1	1	S	0	A0
WTCHG_18627:2:100:10932:3385	1	1	S	0	A0
WTCHG_18627:2:100:10946:12323	1	1	S	0	A0
WTCHG_18627:2:100:10947:17536	1	1	S	0	A0
WTCHG_18627:2:100:10952:18595	1	1	S	0	A0
WTCHG_18627:2:100:10953:16829	1	1	S	0	A0
WTCHG_18627:2:100:10965:6918	1	1	S	0	A0
WTCHG_18627:2:100:10979:2606	1	1	S	0	A0
WTCHG_18627:2:100:10988:3600	1	1	S	0	A0
WTCHG_18627:2:100:10993:21405	1	1	S	0	A0
WTCHG_18627:2:100:10993:5350	1	1	S	0	A0
WTCHG_18627:2:100:11005:20334	1	1	S	0	A0
WTCHG_18627:2:100:11010:10622	1	1	S	0	A0
WTCHG_18627:2:100:11014:10434	1	1	S	0	A0
WTCHG_18627:2:100:11021:10564	1	1	S	0	A0
WTCHG_18627:2:100:11024:16526	1	1	S	0	A0
WTCHG_18627:2:100:11028:18361	1	1	S	0	A0
WTCHG_18627:2:100:1102:17875	1	1	S	0	A0
WTCHG_18627:2:100:11034:1263	1	1	S	0	A0
WTCHG_18627:2:100:11042:18048	1	1	S	0	A0
WTCHG_18627:2:100:11045:5256	1	1	S	0	A0
WTCHG_18627:2:100:1105:1926	1	1	S	0	A0
WTCHG_18627:2:100:11068:12173	1	1	S	0	A0
WTCHG_18627:2:100:1106:6664	1	1	S	0	A0
WTCHG_18627:2:100:11072:1193	1	1	S	0	A0
WTCHG_18627:2:100:11074:1811	1	1	S	0	A0
WTCHG_18627:2:100:11076:15954	1	1	S	0	A0
WTCHG_18627:2:100:11093:11375	1	1	S	0	A0
WTCHG_18627:2:100:11095:20647	1	1	S	0	A0
WTCHG_18627:2:100:11097:2793	1	1	S	0	A0
WTCHG_18627:2:100:11104:18317	1	1	S	0	A0
WTCHG_18627:2:100:11109:1943	1	1	S	0	A0
WTCHG_18627:2:100:11111:1220	1	1	S	0	A0
WTCHG_18627:2:100:11113:5754	1	1	S	0	A0
WTCHG_18627:2:100:11117:3421	1	1	S	0	A0
WTCHG_18627:2:100:11120:19104	1	1	S	0	A0
WTCHG_18627:2:100:11125:20613	1	1	S	0	A0
WTCHG_18627:2:100:11134:3002	1	1	S	0	A0
WTCHG_18627:2:100:11136:10095	1	1	S	0	A0
WTCHG_18627:2:100:11141:6404	1	1	S	0	A0
WTCHG_18627:2:100:11145:1356	1	1	S	0	A0
WTCHG_18627:2:100:11147:15345	1	1	S	0	A0
WTCHG_18627:2:100:11150:13451	1	1	S	0	A0
WTCHG_18627:2:100:11150:15910	1	1	S	0	A0
WTCHG_18627:2:100:11152:12340	1	1	S	0	A0
WTCHG_18627:2:100:11162:21344	1	1	S	0	A0
WTCHG_18627:2:100:11168:8463	1	1	S	0	A0
WTCHG_18627:2:100:11169:5818	1	1	S	0	A0
WTCHG_18627:2:100:11171:13933	1	1	S	0	A0
WTCHG_18627:2:100:11194:4613	1	1	S	0	A0
WTCHG_18627:2:100:11209:15775	1	1	S	0	A0
WTCHG_18627:2:100:11248:12565	1	1	S	0	A0
WTCHG_18627:2:100:11260:9222	1	1	S	0	A0
WTCHG_18627:2:100:11268:5893	1	1	S	0	A0
WTCHG_18627:2:100:11319:11814	1	1	S	0	A0
WTCHG_18627:2:100:11340:12679	1	1	S	0	A0
WTCHG_18627:2:100:11340:21368	1	1	S	0	A0
WTCHG_18627:2:100:11354:19617	1	1	S	0	A0
WTCHG_18627:2:100:11357:15416	1	1	S	0	A0
WTCHG_18627:2:100:11358:2830	1	1	S	0	A0
WTCHG_18627:2:100:11360:10578	1	1	S	0	A0
WTCHG_18627:2:100:11363:8759	1	1	S	0	A0
WTCHG_18627:2:100:11386:8435	1	1	S	0	A0
